HC_count,SC_count,Total Makanan
20,14,203
20,13,1488
20,12,280
20,11,192
20,10,179
20,9,232
20,8,48
20,7,20
20,6,5
20,5,8
20,4,2
19,14,120
19,13,842
19,12,248
19,11,295
19,10,137
19,9,343
19,8,477
19,7,97
19,6,10
19,5,23
19,4,5
18,13,5
18,12,14
18,11,14
18,10,33
18,9,86
18,8,149
18,7,52
18,6,6
18,5,3
18,4,2
18,3,3
17,13,3
17,12,4
17,11,18
17,10,28
17,9,15
17,8,19
17,7,18
17,6,19
17,5,8
17,4,17
17,3,7
17,2,1
16,13,1
16,12,1
16,11,17
16,10,21
16,9,10
16,8,18
16,7,53
16,6,12
16,5,3
16,4,9
16,3,5
16,2,5
15,11,1
15,10,3
15,9,4
15,8,4
15,7,3
15,6,2
15,5,3
15,4,7
15,3,10
15,2,17
15,1,2
15,0,2
14,11,1
14,10,1
14,9,2
14,8,2
14,7,5
14,6,4
14,5,2
14,4,14
14,3,5
14,2,8
14,1,71
14,0,13
13,10,1
13,7,3
13,4,11
13,3,7
13,2,1
13,1,45
12,5,1
12,3,15
12,2,1
12,1,31
11,6,1
11,4,1
11,3,2
11,2,5
11,1,2
11,0,3
10,3,3
10,2,1
10,1,5
10,0,1
9,3,6
9,2,12
9,1,2
9,0,2
8,3,7
8,2,2
8,1,4
8,0,2
7,5,1
7,3,10
7,2,4
7,0,5
6,3,1
6,2,1
6,0,1
